Startup Name,Location,Founders,Website,Article URL
Eatable Adventures,Madrid,José Luis Cabañero,N/A,https://www.eu-startups.com/2024/01/madrid-based-eatable-adventures-concludes-first-closing-of-its-e30-million-fund-to-invest-in-agri-food-tech/
Adaptronics,"Bologna, Italy","Lorenzo Agostini, Camilla Conti, Rocco Vertechy",,https://www.eu-startups.com/2025/11/adaptive-grippers-allowing-robots-to-grasp-any-object-drives-e3-15-million-investment-in-italys-adaptronics/
Pastbook,Amsterdam,Stefano Cutello and Giuseppe Prioriello,,https://www.eu-startups.com/2012/09/amsterdam-based-pastbook-secures-250k/
Qomodo,"Milan, Italy",Gianluca Cocco and Gaetano De Maio,N/A,https://www.eu-startups.com/2025/01/fintech-qomodo-raises-e13-5-million-to-revolutionise-payments-for-physical-merchants/
Webidoo,"Milan, Italy",,,https://www.eu-startups.com/2026/05/italian-ai-company-webidoo-secures-e21-million-to-scale-smb-focused-automation-platform/
Cellply,Bologna,Massimo Bocchi and Roberto Guerrieri,N/A,https://www.eu-startups.com/2026/05/bolognas-cellply-secures-e7-15-million-to-develop-tools-for-faster-immunotherapy-and-cell-therapy-development/
Qomodo,"Milan, Italy",Gianluca Cocco and Gaetano De Maio,N/A,https://www.eu-startups.com/2023/11/milan-based-fintech-qomodo-raises-e34-5-million-to-revolutionize-essential-expenses-for-physical-retailers/
Cortilia,Milan,Marco Porcaro,,https://www.eu-startups.com/2019/09/milan-based-cortalia-raises-e8-5-million-to-deliver-fresh-food-from-farms-to-doorsteps-across-northern-italy/
Tradler,Barcelona,,,https://www.eu-startups.com/2019/04/meet-the-15-startups-that-made-it-to-the-finals-of-our-pitch-competition-on-may-2-3-in-barcelona/
IntendiMe,"Sardinia, Italy","Alessandra Farris, Giorgia Ambu, Antonio Pinese",N/A,https://www.eu-startups.com/2020/05/sardinia-based-intendime-raises-e2-3-million-for-its-hearing-technology/
Sellix,Italy,Daniele Servadei,,https://www.eu-startups.com/2023/07/eu-startups-podcast-episode-37-daniele-servadei-founder-and-ceo-of-sellix/
BudapestConnect,Budapest,Not specified,Not specified,https://www.eu-startups.com/2026/06/budapestconnect-the-successful-launch-of-a-new-startup-ecosystem-gathering/
PastBook,Amsterdam,N/A,N/A,https://www.eu-startups.com/2012/05/pastbook-%e2%80%93-rediscover-your-memories-as-easy-as-before/
Euklid,London,Antonio Simeone,,https://www.eu-startups.com/2016/11/ai-driven-investment-and-blockchain-startup-euklid-secures-seed-funding-at-a-company-valuation-of-e10-million/
Phononic Vibes,"Milan, Italy",Luca D’Alessandro and a group of researchers from Politecnico di Milano and Boston’s MIT,,https://www.eu-startups.com/2020/10/milan-based-deeptech-phononic-vibes-raises-e2-3-million-for-its-innovative-noise-and-vibration-reduction-tech/
Szopi,Poland,Zbigniew Płuciennik,Szopi.pl,https://www.eu-startups.com/2019/10/milan-based-supermercato24-announces-acquisition-of-polish-e-grocery-startup-szopi/
JUSP,"Cagliari, Milan, Italy",,,https://www.eu-startups.com/2014/01/5-italian-startups-to-look-out-for-in-2014/
Blogo,Milan,Not specified,Not available,https://www.eu-startups.com/2011/01/blog-network-blogo-was-recently-bought-by-populis/
Muscope Cybersecurity,Milan,Not specified in the article,Not specified in the article,https://www.eu-startups.com/2023/06/milan-based-muscope-closes-an-e800k-round-to-consolidate-its-cybersecurity-presence-in-italy-and-expand-in-eu/
dotSUB,Italy,Michael L. Smolens,,https://www.eu-startups.com/2011/03/david-orban-appointed-as-dotsub-chief-executive/
Jet HR,Milan,Marco Ogliengo and Francesco Scalambrino,,https://www.eu-startups.com/2023/06/milan-based-jet-hr-raises-e4-7-million-in-one-of-italys-largest-pre-seed-rounds-aiming-to-revolutionise-hr-management/
WeRoad,Italy,"Paolo De Nadai, Fabio Bin, Erika De Santi",,https://www.eu-startups.com/2026/05/airbnb-leads-e49-million-series-c-in-italian-adventure-travel-company-weroad/
Your Juno,null,Alexia and Margot de Broglie,null,https://www.eu-startups.com/2022/03/female-founded-early-stage-fintech-startups-that-you-should-watch-out-for/
Six Robotics,"Oslo, Norway",Christian Fredrik Eggesbø,N/A,https://www.eu-startups.com/2026/06/six-robotics-lands-e12-million-to-advance-unmanned-systems-software-with-norwegian-defence-partners/
Exein,Rome,Gianni Cuozzo,,https://www.eu-startups.com/2025/07/italian-startup-exein-raises-e70-million-to-build-the-immune-system-for-digital-life/
Cosaporto,"Rome, Italy",Stefano Manili,,https://www.eu-startups.com/2021/04/rome-based-cosaporto-premium-tech-delivery-brand-lands-e1-8-million-to-expand-internationally/
Fluentify,London,"Giacomo Moiso, Claudio Bosco and Matteo Avalle",N/A,https://www.eu-startups.com/2018/10/london-based-online-language-tutoring-startup-fluentify-raises-e1-7-million-to-expand-into-the-french-market/
Scuter,"Rome, Italy","Gianmarco Carnovale, Gabriele Carbucicchio, Carmine Di Nuzzo, Luca Ruggeri",N/A,https://www.eu-startups.com/2021/11/rome-based-scuter-drives-off-with-e3-million-to-develop-new-sustainable-urban-mobility-vehicle/
Pennylane,"Paris, France",Arthur Waller,,https://www.eu-startups.com/2024/12/from-startup-to-superstar-european-startups-that-achieved-the-coveted-unicorn-status-in-2024/
Pulpatronics,UK,,,https://www.eu-startups.com/2024/12/london-and-milan-based-nextstep-invests-e590k-in-uk-cleantech-startups-to-drive-sustainable-innovation/
Lumen Ventures,Rome and London,Davide Fioranelli,N/A,https://www.eu-startups.com/2020/07/italian-vc-lumen-ventures-launches-a-e25-million-fund-for-innovative-tech-startups/
Macai,Milan,null,null,https://www.eu-startups.com/2022/01/10-italian-startups-to-watch-in-2022-and-beyond/
null,null,null,null,https://www.eu-startups.com/2025/08/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-aug-04-aug-08/
Translated,,Marco Trombetti,,https://www.eu-startups.com/2019/07/why-and-how-to-build-a-startup-chapter-2-luck/
Hotiday,Milan,"Vittorio Gargiulo, Federico Brunelli and Federico Di Carlo",N/A,https://www.eu-startups.com/2025/05/italian-traveltech-startup-hotiday-raises-e5-5-million-to-create-the-first-decentralised-global-hotel/
null,null,null,null,https://www.eu-startups.com/2018/11/top-15-europes-biggest-startup-hubs-in-2018/
Casavo,Milan,Giorgio Tinacci,,https://www.eu-startups.com/2019/02/casavo-raises-funding/
Babaco Market,Italy,,,https://www.eu-startups.com/2023/03/10-incredibly-exciting-italian-startups-to-watch-in-2023/
Stamplay,Italy,"Nicola Mattina, Giuliano Iacobelli",,https://www.eu-startups.com/2013/04/create-web-applications-without-writing-code-with-stamplay/
Vaniday,"Italy, UK, France, UAE, Brazil",Maxime Legardez,N/A,https://www.eu-startups.com/2015/07/beauty-and-wellness-startup-vaniday-secures-e15m-funding-from-its-existing-investors/
Mogees,London,Bruno Zamborlin,,https://www.eu-startups.com/2017/05/london-based-music-startup-mogees-closes-a-1-1-million-funding-round-with-the-former-ceo-of-emi/
King.com,Europe,Riccardo Zacconi and co-founders,N/A,https://www.eu-startups.com/2020/07/episode-2-of-the-eu-startups-podcast-interview-with-riccardo-zacconi-founder-of-king-com-candy-crush-etc/
BIOPHTA,Paris,null,null,https://www.eu-startups.com/2024/08/leading-the-way-10-promising-european-startups-helping-the-blind-and-visually-impaired/
BautifulBOX,"Cagliari, Italy",null,null,https://www.eu-startups.com/2016/08/10-european-pet-startups-to-watch-in-2016-and-beyond/
Walkolution,"Munich, Germany",,,https://www.eu-startups.com/2019/06/startup-jobs-of-the-week-walkolution-prontopro-byhours-and-veracontent-are-hiring/
Intu Diagnostics,"Liepzig, Germany",Not explicitly mentioned (spin-off from Fraunhofer Society),Not mentioned in the article,https://www.eu-startups.com/2026/06/lab-free-testing-moves-closer-to-home-as-germanys-intu-diagnostics-raises-e1-1-million/
BOOM,Milan,Federico Mattia Dolci,,https://www.eu-startups.com/2021/07/it-is-in-our-nature-to-be-pioneers-we-are-not-wired-to-wait-around-for-a-return-to-normality-interview-with-boom-founder-federico-mattia-dolci/
Reasoned Art,"Milan, Italy",Giulio Bozzo and Andrea Marec,,https://www.eu-startups.com/2021/09/cryptoart-italian-nft-startup-reasoned-art-closed-a-e310k-pre-seed-round/
Solair,Italy,Tom Davis,,https://www.eu-startups.com/2016/05/microsoft-acquires-solair-service-that-deliveres-innovative-internet-of-things/
Seares,"Livorno, Italy",Giorgio Cucè,N/A,https://www.eu-startups.com/2020/12/tuscan-startup-seares-lands-e400k-for-its-innovative-nautical-tech/
BeDimensional,"Genoa, Italy","Vittorio Pellegrini, Francesco Bonaccorso, Andrea Gamucci",N/A,https://www.eu-startups.com/2023/09/genoa-based-bedimensional-raised-e5-million-aiming-to-revolutionise-2d-crystal-applications/
Sibill,"Milan, Italy","Mattia Montepara, Lorenzo Liguori, and Dario Prencipe",N/A,https://www.eu-startups.com/2025/06/italian-fintech-startup-sibill-raises-e12-million-to-bring-all-in-one-finance-platform-to-italian-smes-and-accountants/
Hephaestus Venture,"Milan, Italy and Silicon Valley, USA",Antonino Saccà,N/A,https://www.eu-startups.com/2018/04/hephaestus-venture-is-building-a-bridge-between-corporate-venture-capital-and-startups-in-the-us-and-italy-sponsored/
Cents,"Perugia, Italy","Riccardo Valobra, Alessio Mazzalupi, Claudio Cardinale",N/A,https://www.eu-startups.com/2023/12/perugia-based-fintech-cents-bags-e1-15-million-pre-seed-to-pave-the-way-for-impact-as-a-service-in-italy/
Breed Reply,"London, UK (with offices in Italy and Germany)","Not explicitly mentioned in the article, launched by Reply",No longer in business as of May 2023,https://www.eu-startups.com/2014/10/breed-reply-an-advanced-incubator-for-startups-delivering-iot-solutions/
Contents,"Milan, Italy",Massimiliano Squillace,,https://www.eu-startups.com/2026/02/milan-based-contents-secures-e5-9-million-for-ai-workflow-platform-sets-up-doha-hub-for-middle-east-expansion/
SylloTips,"Rome, Italy","Giorgio Barnabò, Leonardo Martini, Simone Silvestri",,https://www.eu-startups.com/2025/09/romes-syllotips-closes-e4-2-million-round-for-ai-that-learns-from-employees-when-in-doubt/
CharityStars,"Milan, London",Francesco Nazzari Fusetti,N/A,https://www.eu-startups.com/2016/08/charitystars-closes-e2-million-series-a-funding-round-to-accelerate-the-international-expansion/
BOOM!,Milan,,,https://www.eu-startups.com/2020/05/10-european-startups-refreshing-the-photography-industry/
SeedLab,Italy,N/A,N/A,https://www.eu-startups.com/2013/02/seedlab-2013-call-for-application/
Kiurma,"Sicily, Italy",null,null,https://www.eu-startups.com/2011/01/an-interview-with-salvatore-sanfilippo-creator-of-redis-working-out-of-sicily/
ExoLab Italia,"L
Aquila","Mariantonia Logozzi, Stefano Fais, Lorenzo Cilli, Valerio Carconi",N/A,https://www.eu-startups.com/2025/02/exolab-italia-lands-e5-million-to-scale-plant-exosome-innovation-globally/
Wonderflow,Amsterdam,"Riccardo Osti, Giovanni Gaglione, Michele Ruini",N/A,https://www.eu-startups.com/2021/06/amsterdam-based-wonderflow-secures-e16-5-million-to-help-companies-learn-from-customer-feedback/
null,null,null,null,https://www.eu-startups.com/2017/10/top-15-europes-biggest-startup-hubs-in-2017/
Skillvue,"Milan, Italy",Nicolò Mazzocchi and Simone Patera,,https://www.eu-startups.com/2025/05/italian-hrtech-skillvue-raises-e5-5-million-to-enable-companies-to-adopt-a-skills-based-approach/
NanoPhoria Bioscience,"Milan, Italy",Claudio De Luca,,https://www.eu-startups.com/2025/10/nanophoria-closes-e83-5-million-series-a-for-its-heart-failure-candidate-one-of-italys-largest-2025-biotech-rounds/
KiteKraft,Munich,,,https://www.eu-startups.com/2022/12/10-european-wind-energy-startups-that-will-blow-you-away/
Suncrafter,Berlin,,,https://www.eu-startups.com/2020/05/10-innovative-coronavirus-solutions-created-during-online-hackathons/
The Circle,"Rome, Italy","Valerio Ciotola, Simone Cofini, Lorenzo Garreffa, Thomas Marino",N/A,https://www.eu-startups.com/2023/10/rome-based-the-circle-snaps-e2-1-million-to-expand-aquaponic-farm-operation-targeting-the-restaurant-industry/
null,null,null,null,https://www.eu-startups.com/2024/02/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-february-19-february-23/
Deesup,"Milan, Italy",Valentina Ceroline,,https://www.eu-startups.com/2021/11/italian-ethical-furniture-marketplace-deesup-scores-e1-4-million-to-accelerate-international-growth/
IWG,"Zug, Switzerland",null,null,https://www.eu-startups.com/2020/02/eu-startups-summit-the-future-of-great-startup-workspaces-a-panel-discussion-with-iwc-maria-01-and-talent-garden/
Hotelyo,"Milan, Italy",Babotel and Jakala,Deactivated,https://www.eu-startups.com/2011/03/interview-with-danilo-gasparrini-hotelyo/
Space Product and Innovation (SPiN),"Frascati, Italy","Ran Qedar, Saish, Giulia",N/A,https://www.eu-startups.com/2024/01/italian-spacetech-spin-raises-e1-6-million-to-revolutionize-space-manufacturing/
TechPeaks Programme,"Trento, Italy",Trento RISE,,https://www.eu-startups.com/2013/01/first-call-for-the-techpeaks-program/
Wibo,"Turin, Italy",Tommaso Seita and Alessandro Busso,N/A,https://www.eu-startups.com/2025/06/italian-edtech-startup-wibo-raises-e500k-for-its-upskilling-and-leadership-programmes/
GO Sharing,Amsterdam,null,null,https://www.eu-startups.com/2022/02/go-sharing-brings-500-new-e-mopeds-to-rome-making-mobility-even-more-sustainable-in-the-italian-capital/
Aptus.AI,Pisa,Andrea Tesei and Lorenzo De Mattei,N/A,https://www.eu-startups.com/2023/11/pisa-based-regtech-aptus-ai-raises-e3-million-to-transform-compliance-activities-into-business-opportunities/
IdentifAI,"Cesena, Italy",Marco Ramilli and Marco Castaldo,N/A,https://www.eu-startups.com/2025/07/italian-cybersecurity-platform-identifai-raises-e5-million-to-tackle-the-rise-of-deepfakes-with-detection-platform/
Acabiz,"Milan, Italy",Guido Uglietti,www.acabiz.com,https://www.eu-startups.com/2011/05/acabiz-the-web-based-knowledge-trading-platform/
AGADE,Milan,,,https://www.eu-startups.com/2024/04/10-milan-based-startups-to-watch-in-2024-and-beyond/
Weebora,Milan,Fabio Zecchini,,https://www.eu-startups.com/2025/07/italian-padel-marketplace-weebora-secures-e1-3-million-to-offer-padel-related-travel-experiences/
f3nice,"Norway, Italy","Luisa Elena Mondora, Matteo Vanazzi, Philip Hansteen",N/A,https://www.eu-startups.com/2022/11/harnessing-am-for-a-sustainable-circular-world-interview-with-the-founders-of-f3nice-sponsored/
Wultra,Prague,Petr Dvorak,,https://www.eu-startups.com/2026/06/czech-cybersecurity-startup-wultra-lands-e6-8-million-to-support-europes-digital-identity-wallet-rollout/
Babaco Market,Milan,,,https://www.eu-startups.com/2023/09/turning-waste-into-wealth-10-promising-european-startups-tackling-the-food-waste-crisis/
FlyingBasket,Italy,Moritz Moroder (CEO),N/A,https://www.eu-startups.com/2023/10/the-future-of-cargo-transportation-introducing-flyingbaskets-fb3-drone-with-100kg-capacity-sponsored/
Furhat Robotics,Stockholm,,,https://www.eu-startups.com/2020/02/10-promising-european-robotics-startups-to-watch-in-2020/
Algo AI,Milan,,,https://www.eu-startups.com/2024/02/viva-linnovazione-10-innovative-italian-startups-to-keep-an-eye-on-in-2024-and-beyond/
Glue Collaboration,Helsinki,Santtu Parikka and Ville Miettinen,,https://www.eu-startups.com/2020/05/5-european-ar-and-vr-startups-helping-us-all-work-remotely/
Translated,Italy and US,Isabelle Andrieu and Marco Trombetti,N/A,https://www.eu-startups.com/2021/06/italy-and-us-based-translated-nabs-e25-2-million-to-boost-its-end-to-end-translation-platform/
Glaut,Milan,Matteo Cera and Giovanni del Gallo,N/A,https://www.eu-startups.com/2024/04/milan-based-glaut-secures-over-e1-3-million-to-help-b2c-businesses-uncover-customer-insights-through-conversational-surveys/
null,null,null,null,https://www.eu-startups.com/2024/02/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-january-28-february-2/
POW-WOW fashion tech week,"Potenza, Basilicata",Andreina Serena Romano,,https://www.eu-startups.com/2020/08/how-will-the-startups-from-the-south-of-italy-recover-from-the-pandemic/
The Exploration Company (TEC),"Munich, Germany, France, Italy",Hélène Huby,N/A,https://www.eu-startups.com/2024/11/munich-based-the-exploration-company-secures-e160-million-to-further-develop-their-reusable-spacecraft/
Wayla,"Milan, Italy","Carlo Bettini, Mario Ferretti",N/A,https://www.eu-startups.com/2025/09/italian-mobility-startup-wayla-zips-past-e1-million-in-funding-in-under-30-hours/
Reasoned Art,"Milan, Italy",Giulio Bozzo and Andrea Marec,N/A,https://www.eu-startups.com/2023/05/milan-based-reasoned-art-closes-e1-4-million-seed-round-to-enter-the-korean-market-with-web3-digital-art-project-monuverse/
Fitprime,"Rome, Italy",Matteo Musa,,https://www.eu-startups.com/2021/01/rome-based-fitprime-nabs-e2-5-million-to-expand-its-online-workout-and-gym-platform/
Arduino,"Malmo, Budapest, Italy",David Cuartielles,,https://www.eu-startups.com/2020/05/it-takes-a-lot-of-work-and-having-a-certain-attitude-interview-with-arduinos-ceo-and-coronavirusmakers-david-cuartielles/
iGenius,"Milan, Italy",Uljan Sharka,,https://www.eu-startups.com/2020/09/milan-based-scaleup-igenius-launches-its-virtual-data-advisor-in-the-us/
Toduba,"Turin, Italy",Gianluca Enrietti and Bruno Cavigioli,N/A,https://www.eu-startups.com/2025/07/italian-fintech-platform-toduba-raises-e3-5-million-to-digitise-the-employee-welfare-sector/
BigProfiles,"Rome, Italy",Lorenzo Luce,N/A,https://www.eu-startups.com/2020/02/rome-based-bigprofiles-raises-e1-5-million-to-help-companies-profile-their-customers-using-ai/
TechChill,"Riga, Baltics",Marija Rucevska,null,https://www.eu-startups.com/2022/05/techchill-is-taking-milan-as-europes-startup-ecosystem-keeps-growing/
null,null,null,null,https://www.eu-startups.com/2020/11/top-30-europes-biggest-startup-hubs-in-2020/
Fresco Frigo,Milan,null,null,https://www.eu-startups.com/2019/08/10-milan-based-startups-to-look-out-for-in-2019-and-beyond/
Buzzoole,"Naples, Italy",Fabrizio Perrone (CEO),,https://www.eu-startups.com/2017/01/italian-startup-buzzoole-raises-830k-for-its-influencer-marketing-platform/
Ittinsect,Rome,Alessandro Romano,N/A,https://www.eu-startups.com/2023/02/italian-biotech-startup-ittinsect-secured-e750k-to-develop-a-sustainable-alternative-to-aquaculture-feed/
null,null,null,null,https://www.eu-startups.com/2026/06/eifo-commits-e200-million-to-scaleup-europe-fund-to-back-european-tech-scaleups/
null,null,null,null,https://www.eu-startups.com/2019/08/why-and-how-to-build-a-startup-chapter-5-diversity/
Betahaus,Europe,Madeleine Gummer v. Mohl,,https://www.eu-startups.com/2020/11/eu-startups-podcast-episode-10-the-status-quo-and-future-of-coworking-with-the-ceos-of-betahaus-and-talent-garden/
ALKemist Bio,Turin,,,https://www.eu-startups.com/2025/02/ciao-innovation-10-promising-italian-startups-you-should-keep-and-eye-on-in-2025/
Wind Mobility,"Barcelona, Spain",Not mentioned in the article,Not mentioned in the article,https://www.eu-startups.com/2019/12/berlin-based-wind-wins-official-e-scooter-partnership-with-milan-city/
Brum,Milan,,,https://www.eu-startups.com/2026/02/from-milan-to-liguria-10-of-the-most-promising-italian-startups-shaping-the-next-tech-cycle/
Soource,Bolzano,"Maicol Verzotto, Nazareno Mario Ciccarello, Silvia Chiarot, Serena Galli, Luca Taddeo",,https://www.eu-startups.com/2026/06/bolzano-based-soource-raises-e3-million-to-help-procurement-evolve-from-copilot-to-autopilot-model/
Academia de Código,"Lisbon, Fundao, Dritts, Porto",null,null,https://www.eu-startups.com/2019/07/the-15-best-coding-schools-and-coding-bootcamps-in-europe/
Young Planet,UK,,,https://www.eu-startups.com/2021/05/10-promising-circular-economy-startups-to-watch-in-2021/
Fiscozen,Milan,Enrico Mattiazzi and Vito Lomele,N/A,https://www.eu-startups.com/2022/12/milan-based-fintech-fiscozen-picks-up-e8-million-to-get-rid-of-tax-bureaucracy/
BOOM,Milan,null,null,https://www.eu-startups.com/2021/08/10-promising-milan-based-startups-worth-following-in-2021-and-beyond/
FlyingBasket,Italy,Moritz Moroder,,https://www.eu-startups.com/2023/11/shore-to-island-and-shore-to-ship-deliveries-flyingbaskets-drone-sets-new-benchmarks-sponsored/
Fubles,Milan,Mirko Trasciatti,,https://www.eu-startups.com/2011/03/sport-community-fubles-jus-raised-300000-euro/
Vanta,null,null,null,https://www.eu-startups.com/2024/10/eu-startups-podcast-episode-92-diyala-daveni-head-of-vento/
Cyber Guru,Rome,Gianni Baroni,N/A,https://www.eu-startups.com/2024/10/rome-based-cyber-guru-bags-e23-million-series-b-to-expand-its-cybersecurity-training-platform/
Tundr,"Milan, Italy","Giorgio Seveso, Jules Arthur Sastre, and Luca Milesi",N/A,https://www.eu-startups.com/2025/04/italian-fintech-tundr-secures-e7-2-million-to-scale-its-digital-platform-for-corporate-welfare/
StartupGym,Milan,"Enrico Pandian, Tarek Fahmy and Giuseppe Balzano",,https://www.eu-startups.com/2021/12/milan-based-startupgym-raises-e1-5-million-to-build-european-impact-startups/
Qapla’,"Florence, Italy",Luca Cassia and Roberto Fumarola,,https://www.eu-startups.com/2020/11/italian-startup-qapla-lands-e950k-to-grow-its-innovative-shipment-management-system/
Talentware,"Milan, Italy","Andrea Raimondo, Giacomo Marchiori",,https://www.eu-startups.com/2024/03/milan-based-positive-impact-startup-talentware-gets-e800k-pre-seed-to-enable-data-driven-workforce-planning/
Macai,"Milan, Italy",Giovanni Cavallo,N/A,https://www.eu-startups.com/2021/11/milan-based-macai-bags-e2-6-million-to-launch-new-digital-supermarket/
Surfshark,Netherlands,,,https://www.eu-startups.com/2025/10/european-startups-get-serious-about-deepfakes-as-ai-fraud-losses-surpass-e1-3-billion/
null,null,null,null,https://www.eu-startups.com/2026/04/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-apr-13-apr-17/
Scalapay,Milan,null,null,https://www.eu-startups.com/2022/10/10-exciting-milan-based-startups-were-keeping-a-close-eye-on/
Hephaestus Venture,"Milan, Italy",Antonino Saccà,N/A,https://www.eu-startups.com/2018/01/hephaestus-venture-launches-a-new-accelerator-in-milan-sponsored/
i-TES,"Turin, Italy",Michele Santovito,N/A,https://www.eu-startups.com/2023/05/turin-based-deeptech-startup-i-tes-secures-e14-million-to-support-renewal-energy-sources-with-thermal-storage/
Seqana,Berlin,Stefan Goenner,,https://www.eu-startups.com/2026/06/berlin-based-seqana-secures-e3-2-million-to-quantify-soil-health-using-satellite-imagery-and-machine-learning/
Bionyra Pharma,Paris and Boston,"Dr. Frédéric Marrache, Anta Gkelou",N/A,https://www.eu-startups.com/2026/06/frances-bionyra-pharma-launches-with-e143-million-series-a-to-advance-inflammatory-disease-biologics/
Quindi,"Padua, Italy","Fabio Oscari, Simone Minto, Luca Barbazza, Alberto Frison",N/A,https://www.eu-startups.com/2024/12/padua-based-quindi-raises-e525k-to-accelerate-development-of-its-ai-production-copilot-for-smart-manufacturing/
H-FARM,Italy,Riccardo Donadon,,https://www.eu-startups.com/2016/11/join-startup-is-my-way-an-exciting-event-for-students-and-young-entrepreneurs-on-december-6-in-treviso-italy/
Italian Founders Fund,"Milan, Italy",Lorenzo Franzi,,https://www.eu-startups.com/2024/06/milan-based-vc-italian-founders-fund-raises-inaugural-e50-million-for-seed-and-pre-seed-startups/
Zakeke,Milan,Angelo Coletta,N/A,https://www.eu-startups.com/2023/10/milan-based-zakeke-secures-e2-million-to-become-the-go-to-visual-commerce-partner-for-global-brands/
BOOM imagestudio,"Milan, Italy",Federico Mattia Dolci,,https://www.eu-startups.com/2020/02/federico-mattia-dolci-ceo-of-boom-imagestudio-will-speak-at-the-eu-startups-summit-workshop-on-fast-vs-sustainable-growth/
betahaus,"Berlin, Sofia, Barcelona, Hamburg","Madeleine Gummer v. Mohl, Christoph Fahle, Maximilian von der Ahe",N/A,https://www.eu-startups.com/2020/05/interview-with-co-founder-and-ceo-of-betahaus-madeleine/
Piece,"Milan, Italy","Kentaro Sohara, Lorenzo Dellarossa, Riccardo Momigliano",N/A,https://www.eu-startups.com/2023/07/milan-based-real-estate-fintech-piece-secures-e650k-to-empower-a-young-generation-of-property-investors/
Naroomi,"Rome, Italy",Ricardo (CEO) and Andrea (CTO),"Not explicitly provided, link deactivated",https://www.eu-startups.com/2012/04/naroomi-the-next-big-thing/
Uala,Milan,Alessandro Bruzzi,Uala.com,https://www.eu-startups.com/2019/06/milan-based-beauty-booking-platform-uala-raises-e15-million-and-acquires-french-salon-booking-service-balinea/
null,null,null,null,https://www.eu-startups.com/2020/07/premium-report-europes-top-50-ai-startups/
ABOUT YOU,Hamburg,Tarek Müller,,https://www.eu-startups.com/2026/06/the-eu-startups-podcast-interview-with-tarek-muller-co-founder-co-ceo-about-you/
Wandercraft,Paris,null,null,https://www.eu-startups.com/2020/01/10-promising-european-startups-supporting-people-with-disabilities/
FLEEP Technologies,"Milan, Italy","Mario Caironi, Giorgio Dell
Rba, Paolo Colpani",N/A,https://www.eu-startups.com/2020/10/milan-based-fleep-technologies-completes-e900k-seed-round-to-bring-printed-electronics-to-market/
Roboze,"Bari, Italy",Alessio Lorusso,N/A,https://www.eu-startups.com/2026/03/italys-roboze-secures-defencetech-investment-ahead-of-us-aerospace-and-defence-headquarters-launch/
Emotiva,"Milan, Italy",N/A,N/A,https://www.eu-startups.com/2021/11/milan-based-ai-startup-emotiva-raises-e610k-to-analyse-peoples-emotional-responses-in-real-time/
ZNEXT,"Bologna, Italy","Elena Lavezzi, Ferrante Enriques",,https://www.eu-startups.com/2025/06/italian-publishing-house-zanichelli-editore-launches-e60-million-edtech-push-for-unlocking-human-potential/
Osney Capital,UK,"Adam Cragg, Joshua Walter, Paul Wilkes",,https://www.eu-startups.com/2026/06/amid-rising-uk-cyber-talent-growth-osney-capital-closes-oversubscribed-e69-million-debut-fund/
Tulum Energy,Milan,"Massimiliano Pieri, Donald Kendrick",N/A,https://www.eu-startups.com/2025/07/italian-hydrogen-company-tulum-energy-raises-e22-9-million-to-advance-scalable-low-carbon-hydrogen-production/
AlterEco Pulp,"Rome, Italy","Giammarco Paronitti, Corazzi family",N/A,https://www.eu-startups.com/2025/08/italys-altereco-pulp-raises-e3-5-million-for-its-eco-sustainable-packaging-solution/
Biscuitway,Catania,,,https://www.eu-startups.com/2022/11/10-super-promising-sicilian-startups-to-watch-over-the-next-year/
Global Startup Awards,null,"Péter Kovács, Kim Balle",null,https://www.eu-startups.com/2019/07/nominations-for-global-startup-awards-are-now-open-in-26-european-countries/
Lexroom.ai,Milan,"Paolo Fois, Martina Domenicali, and Andrea Lonza",N/A,https://www.eu-startups.com/2025/03/lexroom-ai-raises-e2-million-to-transform-legal-researchwith-vertical-generative-ai/
Cyberwave,Milan,Simone Di Somma and Vittorio Banfi,N/A,https://www.eu-startups.com/2025/10/milan-based-cyberwave-secures-e7-million-to-simplify-ai-driven-automation/
Foreverland,"Milan and Puglia, Italy","Massimo Sabatini, Riccardo Bottiroli, Giuseppe D
Alessandro, and Massimo Brochetta",N/A,https://www.eu-startups.com/2026/03/italys-foreverland-unwraps-e6-million-to-sweeten-the-european-expansion-of-its-cocoa-free-chocolate-alternative/
Bending Spoons,Milan,null,null,https://www.eu-startups.com/2024/07/milan-based-bending-spoons-announces-the-acquisition-of-digital-publishing-platform-issuu/
hlpy,Milan,,,https://www.eu-startups.com/2024/09/milan-based-hlpy-raises-e18-millions-series-b-to-grow-in-the-vehicle-assistance-sector-in-europe/
GoStudent,"Vienna, Austria",Felix Ohswald and Gregor Müller,N/A,https://www.eu-startups.com/2021/01/vienna-based-online-tutoring-startup-gostudent-expands-to-5-more-european-countries/
Tutornow,"Lomazzo, Italy","Riccardo Sciortino, Nicola De Carlo, Andrei Braila, and Luca Dei Rossi",N/A,https://www.eu-startups.com/2025/05/italian-edtech-startup-tutornow-raises-e1-million-to-scale-their-accessible-and-personalised-lessons/
